"","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","OPtg","DRtg","NRtg","Pace","FTr","3PAr","TS_percent","eFG_percent_offense","TOV_percent_offense","ORB_percent","FT/FGA_offense","eFG_percent_defense","TOV_percent_defense","DRB_percent","FT/FGA_defense","Arena","Attend","Attend/G","...29","...30","...31","Year"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G",2000
"2","1","Los Angeles Lakers*","29.2","67","15","64","18","8.55","-0.14","8.41","107.3","98.2","+9.1","93.3",".346",".153",".525",NA,".484","12.7","30.6",".241",NA,".443","13.4","73.1",".222",NA,"STAPLES Center","771,420","",2000
"3","2","Portland Trail Blazers*","29.6","59","23","59","23","6.40","-0.04","6.36","107.9","100.8","+7.1","89.9",".316",".175",".546",NA,".501","14.5","30.3",".240",NA,".461","13.8","72.4",".217",NA,"Rose Garden Arena","835,078","",2000
"4","3","San Antonio Spurs*","30.9","53","29","58","24","5.94","-0.02","5.92","105.0","98.6","+6.4","90.8",".346",".138",".535",NA,".488","14.3","27.8",".258",NA,".451","13.5","73.0",".188",NA,"Alamodome","884,450","",2000
"5","4","Phoenix Suns*","28.6","53","29","56","26","5.22","0.02","5.24","104.6","99.0","+5.6","94.0",".286",".184",".532",NA,".491","15.2","29.3",".217",NA,".454","15.7","70.5",".245",NA,"America West Arena","773,115","",2000
"6","5","Utah Jazz*","31.5","55","27","54","28","4.46","0.05","4.52","107.3","102.3","+5.0","89.6",".337",".134",".540",NA,".490","14.3","29.5",".260",NA,".477","15.0","73.2",".256",NA,"Delta Center","801,268","",2000
"7","6","Indiana Pacers*","30.4","56","26","54","28","4.60","-0.45","4.15","108.5","103.6","+4.9","93.1",".302",".224",".552",NA,".503","13.3","24.9",".245",NA,".469","12.6","71.5",".197",NA,"Conseco Fieldhouse","752,145","",2000
"8","7","Miami Heat*","29.2","52","30","50","32","3.11","-0.36","2.75","104.5","101.0","+3.5","89.7",".283",".186",".533",NA,".495","14.5","28.2",".208",NA,".453","13.3","72.9",".229",NA,"AmericanAirlines Arena","706,725","",2000
"9","8","Sacramento Kings*","27.5","44","38","49","33","2.91","0.12","3.04","105.0","102.1","+2.9","99.3",".277",".227",".526",NA,".486","13.9","27.7",".209",NA,".479","15.1","69.7",".198",NA,"ARCO Arena (II)","720,033","",2000
"10","9","Charlotte Hornets*","28.7","49","33","49","33","2.67","-0.34","2.33","104.3","101.4","+2.9","93.9",".376",".153",".530",NA,".475","13.7","25.7",".285",NA,".478","14.6","73.2",".198",NA,"Charlotte Coliseum","732,827","",2000
"11","10","Minnesota Timberwolves*","26.6","50","32","48","34","2.52","0.14","2.67","106.1","103.4","+2.7","91.8",".256",".104",".525",NA,".485","12.9","29.4",".200",NA,".474","14.0","73.0",".250",NA,"Target Center","690,012","",2000
"12","11","New York Knicks*","29.5","50","32","46","36","1.46","-0.16","1.30","102.5","100.9","+1.6","89.2",".283",".147",".527",NA,".482","14.4","24.7",".221",NA,".455","13.6","73.1",".251",NA,"Madison Square Garden (IV)","810,103","",2000
"13","12","Detroit Pistons*","28.3","42","40","45","37","1.44","-0.31","1.13","107.3","105.8","+1.5","95.7",".378",".184",".548",NA,".492","14.3","26.8",".295",NA,".499","15.4","71.6",".249",NA,"The Palace of Auburn Hills","678,470","",2000
"14","13","Philadelphia 76ers*","27.1","49","33","45","37","1.34","-0.32","1.02","101.5","100.0","+1.5","92.7",".329",".095",".501",NA,".457","14.2","31.4",".233",NA,".466","16.2","69.9",".229",NA,"First Union Center","756,956","",2000
"15","14","Seattle SuperSonics*","28.5","45","37","44","38","0.95","0.22","1.17","105.6","104.6","+1.0","93.4",".282",".232",".520",NA,".487","12.9","28.5",".196",NA,".483","14.0","69.6",".193",NA,"KeyArena at Seattle Center","615,730","",2000
"16","15","Orlando Magic","26.3","41","41","43","39","0.68","-0.26","0.43","102.4","101.7","+0.7","97.3",".305",".124",".516",NA,".473","15.4","31.6",".224",NA,".476","15.9","69.9",".226",NA,"TD Waterhouse Centre","576,409","",2000
"17","16","Milwaukee Bucks*","28.2","42","40","42","40","0.22","-0.28","-0.06","108.2","107.9","+0.3","92.7",".290",".157",".539",NA,".494","13.8","30.0",".228",NA,".496","14.6","69.6",".254",NA,"Bradley Center","628,605","",2000
"18","17","Toronto Raptors*","29.3","45","37","41","41","-0.16","-0.30","-0.46","104.7","104.9","-0.2","92.5",".300",".170",".511",NA,".464","12.7","30.1",".230",NA,".480","14.2","71.8",".247",NA,"Air Canada Centre","756,496","",2000
"19","18","Dallas Mavericks","26.3","40","42","39","43","-0.57","0.29","-0.29","106.6","107.2","-0.6","94.9",".248",".188",".532",NA,".490","12.6","25.5",".200",NA,".488","14.2","66.1",".210",NA,"Reunion Arena","606,177","",2000
"20","19","Boston Celtics","25.4","35","47","39","43","-0.76","-0.24","-1.00","104.8","105.6","-0.8","94.6",".316",".183",".520",NA,".474","13.8","30.4",".236",NA,".498","15.8","73.8",".306",NA,"FleetCenter","683,608","",2000
"21","20","Houston Rockets","26.3","34","48","39","43","-0.87","0.30","-0.57","104.8","105.7","-0.9","94.2",".322",".244",".536",NA,".494","15.8","29.1",".236",NA,".481","12.5","71.6",".201",NA,"Compaq Center","624,594","",2000
"22","21","New Jersey Nets","27.3","31","51","38","44","-1.04","-0.15","-1.18","105.1","106.3","-1.2","92.5",".297",".200",".517",NA,".468","12.6","28.1",".233",NA,".491","15.2","67.2",".223",NA,"Continental Airlines Arena","643,631","",2000
"23","22","Denver Nuggets","25.9","35","47","35","47","-2.12","0.36","-1.76","103.5","105.8","-2.3","94.7",".306",".202",".517",NA,".476","14.0","29.2",".222",NA,".479","13.0","71.6",".235",NA,"Pepsi Center","637,698","",2000
"24","23","Washington Wizards","28.0","29","53","32","50","-3.28","-0.19","-3.47","103.5","107.0","-3.5","92.7",".315",".133",".521",NA,".476","14.8","30.6",".234",NA,".489","13.9","71.7",".273",NA,"MCI Center","616,593","",2000
"25","24","Cleveland Cavaliers","27.2","32","50","31","51","-3.50","-0.14","-3.64","100.4","104.0","-3.6","95.7",".327",".136",".516",NA,".468","15.6","28.1",".245",NA,".474","15.1","71.2",".275",NA,"Gund Arena","603,702","",2000
"26","25","Atlanta Hawks","27.6","28","54","26","56","-5.38","-0.04","-5.41","102.0","107.9","-5.9","91.7",".292",".120",".503",NA,".460","14.1","31.7",".217",NA,".481","11.3","71.0",".196",NA,"Philips Arena","600,954","",2000
"27","26","Vancouver Grizzlies","25.3","22","60","25","57","-5.62","0.52","-5.10","102.3","108.5","-6.2","91.0",".320",".139",".524",NA,".474","15.8","30.1",".247",NA,".502","14.1","70.6",".231",NA,"General Motors Place","569,864","",2000
"28","27","Golden State Warriors","26.9","19","63","20","62","-8.27","0.64","-7.63","99.8","108.4","-8.6","95.4",".301",".150",".484",NA,".444","13.9","32.6",".210",NA,".499","14.6","69.1",".259",NA,"The Arena in Oakland","509,171","",2000
"29","28","Chicago Bulls","26.0","17","65","15","67","-9.40","0.17","-9.23","94.2","104.6","-10.4","89.4",".338",".167",".490",NA,".443","18.0","29.9",".240",NA,".484","14.5","69.9",".240",NA,"United Center","907,064","",2000
